Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
2;B;non;83,09;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;non;CC;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX";"42004AFX;A; 42005AFX;A; 42006AFX;A"
2;B;DEC préuniversitaire;73;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;non;CC;non;non;"3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX";"42005BFX;B; 42007BFX;B; 42014BFX;C; 42016BFX;A"
2;B;non;79,81;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;non;CC;non;non;"42002FFX; 42012YFX";"42008DFX;A; 42014DFX;B; 42015DFX;C"
2;B;non;66,45;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;non;RP;oui;non;"332C01FX; 42005CFX; 42014BFX";"3500BDFX;B; 42005BFX;C; 42007BFX;C; 42014BFX;E; 42016BFX;C"
4;B;non;83,91;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;non;CC;oui;non;"42007EFX; 42014DFX";"42007EFX;E; 42008EFX;E; 42014DFX;E"
2;B;DEC préuniversitaire;77,52;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"42008DFX;A; 42014DFX;A; 42015DFX;B; 42016DFX;A"
1;B;DEC préuniversitaire;66,17;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42004AFX; 42005AFX; 42006AFX";aucune donnée
4;B;non;73,15;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42005BFX; 42006AFX; 42014BFX; 42016BFX";"42005AFX;Aucun résultat; 42006AFX;Aucun résultat; 42007BFX;Aucun résultat; 42016BFX;Aucun résultat"
2;B;DEC préuniversitaire;82,92;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"3500BDFX;A; 42008DFX;B; 42014DFX;C; 42015DFX;C; 42016DFX;B"
1;B;non;78,67;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42005BFX; 42007BFX; 42014BFX; 42016BFX; 601103MQ";aucune donnée
1;B;non;82;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109A13FX; 340102MQ; 42004AFX; 42005AFX; 601102MQ; 604102MQ";aucune donnée
1;B;non;65,49;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;oui;CC;oui;non;"109B19FX; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX; 604101MQ";aucune donnée
1;B;non;64,11;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX";"3500BDFX;C; 42004AFX;D; 42006AFX;C; 42007BFX;C; 42016BFX;D"
4;B;non;72,87;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42004AFX; 42005AFX; 42006AFX";aucune donnée
5;I;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;oui;non;42007EFX;"42007EFX;E; 42008EFX;B; 42014EFX;D; 601103MQ;D; 601CJAFX;C"
1;B;non;68,38;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42008CFX; 42014CFX";aucune donnée
