Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
2;B;non;83,09;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;non;CC;non;non;"20101AFX; 42005BFX; 42007BFX; 42014BFX; 42016BFX";"42004AFX;A; 42005AFX;A; 42006AFX;A"
1;B;DEC préuniversitaire;80,7;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"42006EFX;B; 42008EFX;B; 42014EFX;A"
2;B;DEC préuniversitaire;73;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;non;CC;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX";"42005BFX;B; 42007BFX;B; 42014BFX;C; 42016BFX;A"
2;B;non;79,81;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;non;CC;non;non;"109C21FX; 42006EFX; 42007EFX; 42008EFX; 42014EFX";"42008DFX;A; 42014DFX;B; 42015DFX;C"
2;B;non;66,45;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;non;RP;non;non;"20101AFX; 340102MQ; 42006CFX; 42014BFX";"3500BDFX;B; 42005BFX;C; 42007BFX;C; 42014BFX;E; 42016BFX;C"
4;B;non;83,91;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;non;CC;oui;non;"42007EFX; 42014DFX";"42007EFX;E; 42008EFX;E; 42014DFX;E"
2;B;DEC préuniversitaire;77,52;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"42008DFX;A; 42014DFX;A; 42015DFX;B; 42016DFX;A"
5;I;non;75,96;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"109C10FX;C; 42006EFX;C; 42007EFX;B; 42008EFX;C"
4;B;non;73,15;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"20101AFX; 42005AFX; 42006AFX; 42007BFX";"42005AFX;Aucun résultat; 42006AFX;Aucun résultat; 42007BFX;Aucun résultat; 42016BFX;Aucun résultat"
1;B;non;77,29;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42005BFX; 42014BFX; 601CJBFX";"340CJCFX;B; 3500BDFX;B; 42005BFX;E; 42006CFX;E; 42014BFX;E; 601103MQ;D; 604C3DFX;B"
2;B;DEC préuniversitaire;82,92;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"3500BDFX;A; 42008DFX;B; 42014DFX;C; 42015DFX;C; 42016DFX;B"
1;B;non;78,67;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"20101AFX; 42004AFX; 42005AFX; 42006AFX; 604C3DFX";aucune donnée
5;I;non;82,79;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;non;RP;non;non;42012YFX;"42002FFX;B; 42012YFX;E"
1;B;non;64,11;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 42005BFX; 42014BFX";"3500BDFX;C; 42004AFX;D; 42006AFX;C; 42007BFX;C; 42016BFX;D"
5;I;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"42002FFX; 42007EFX; 42012YFX";"42007EFX;E; 42008EFX;B; 42014EFX;D; 601103MQ;D; 601CJAFX;C"
1;B;non;68,38;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005BFX; 42006CFX; 42014BFX";aucune donnée
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;oui;non;"109C01FX; 201203RE; 42005CFX; 601102MQ";aucune donnée
